Date,bs_signal
2017-11-21,1
2017-11-27,-1
2017-11-29,1
2017-12-01,-1
2017-12-03,-1
2017-12-06,1
2017-12-08,1
2017-12-10,1
2017-12-18,-1
2017-12-21,-1
2017-12-26,-1
2017-12-28,1
2018-01-04,1
2018-01-10,1
2018-01-31,-1
2018-02-01,-1
2018-02-05,1
2018-02-14,1
2018-02-15,-1
2018-02-17,-1
2018-02-19,-1
2018-02-20,-1
2018-02-23,0
2018-02-24,1
2018-02-25,0
2018-03-01,-1
2018-03-09,-1
2018-03-11,-1
2018-03-31,-1
2018-04-07,1
2018-04-08,1
2018-04-14,1
2018-04-15,1
2018-04-27,1
2018-04-30,1
2018-05-06,-1
2018-05-11,1
2018-05-14,-1
2018-05-15,0
2018-05-19,-1
2018-05-21,-1
2018-05-24,-1
2018-05-28,1
2018-06-01,1
2018-06-04,0
2018-06-15,1
2018-06-19,-1
2018-06-26,1
2018-07-04,1
2018-07-06,-1
2018-07-11,1
2018-07-13,1
2018-07-18,-1
2018-07-22,1
2018-07-28,-1
2018-08-11,-1
2018-08-13,1
2018-08-15,-1
2018-08-19,-1
2018-08-24,1
2018-08-27,1
2018-09-08,1
2018-09-10,1
2018-09-11,1
2018-09-20,-1
2018-09-25,1
2018-10-07,-1
2018-10-13,0
2018-10-21,0
2018-11-02,1
2018-11-12,-1
2018-11-15,-1
2018-11-25,-1
2018-11-27,1
2018-12-08,-1
2018-12-09,-1
2018-12-13,1
2018-12-17,1
2018-12-18,1
2018-12-20,1
2018-12-24,0
2018-12-31,1
2019-01-03,0
2019-01-12,0
2019-01-13,1
2019-01-29,0
2019-02-01,-1
2019-02-02,-1
2019-02-03,1
2019-02-09,0
2019-02-11,0
2019-02-26,-1
2019-02-27,-1
2019-03-07,-1
2019-03-12,1
2019-03-14,1
2019-03-17,-1
2019-03-25,1
2019-04-03,1
2019-04-04,1
2019-04-08,-1
2019-04-22,-1
2019-04-25,1
2019-05-03,0
2019-05-04,1
2019-05-05,1
2019-05-07,1
2019-05-20,0
2019-05-21,1
2019-05-25,0
2019-05-26,0
2019-06-03,-1
2019-06-08,1
2019-06-18,1
2019-06-21,1
2019-07-01,-1
2019-07-06,-1
2019-07-08,-1
2019-07-14,-1
2019-07-22,-1
2019-07-29,1
2019-08-04,-1
2019-08-08,-1
2019-08-12,-1
2019-08-14,1
2019-08-18,0
2019-08-19,-1
2019-08-21,0
2019-08-31,0
2019-09-01,0
2019-09-03,0
2019-09-04,1
2019-09-10,1
2019-09-26,1
2019-10-05,1
2019-10-10,-1
2019-10-18,-1
2019-10-24,1
2019-10-28,0
2019-10-29,-1
2019-11-06,-1
2019-11-09,0
2019-11-18,-1
2019-11-22,0
2019-11-24,1
2019-12-06,-1
2019-12-07,-1
2019-12-08,-1
2019-12-13,-1
2019-12-16,-1
2019-12-20,-1
2019-12-23,0
2019-12-25,1
2019-12-26,1
2019-12-27,1
2019-12-29,0
2020-01-10,1
2020-01-15,0
2020-01-17,0
2020-02-02,1
2020-02-06,1
2020-02-14,-1
2020-02-16,1
2020-02-21,-1
2020-02-22,-1
2020-02-28,0
2020-03-02,1
2020-03-14,1
2020-03-19,0
2020-03-20,1
2020-03-23,-1
2020-03-29,1
2020-03-30,1
2020-03-31,1
2020-04-07,-1
2020-04-27,1
2020-04-29,-1
2020-05-01,-1
2020-05-03,0
2020-05-13,1
2020-05-17,0
2020-05-20,-1
2020-05-24,1
2020-05-27,1
2020-05-29,1
2020-06-01,-1
2020-06-03,0
2020-06-04,0
2020-06-19,1
2020-06-20,0
2020-06-25,-1
2020-06-29,0
2020-07-06,0
2020-07-14,0
2020-07-17,1
2020-07-21,1
2020-07-29,1
2020-08-04,0
2020-08-06,-1
2020-08-09,1
2020-08-11,1
2020-08-23,0
2020-08-28,1
2020-09-05,1
2020-09-15,0
2020-09-16,-1
2020-09-17,-1
2020-09-25,1
2020-09-27,-1
2020-10-03,0
2020-10-13,0
2020-10-14,0
2020-10-15,-1
2020-10-17,1
2020-10-31,1
2020-11-06,0
2020-11-08,1
2020-11-09,1
2020-11-12,1
2020-11-17,1
2020-11-18,1
2020-11-24,-1
2020-11-28,1
2020-12-01,1
2020-12-15,1
2020-12-16,-1
2020-12-17,0
2020-12-20,0
2020-12-28,1
2020-12-29,1
2021-01-09,-1
2021-01-14,1
2021-01-29,1
2021-02-08,1
2021-02-10,1
2021-02-13,1
2021-02-15,1
2021-02-16,1
2021-02-21,-1
2021-03-06,1
2021-03-09,0
2021-03-16,0
2021-03-21,-1
2021-03-22,0
2021-03-23,0
2021-04-01,1
2021-04-19,1
2021-04-30,1
2021-05-06,1
2021-05-08,-1
2021-05-10,-1
2021-05-15,-1
2021-05-22,1
2021-05-27,-1
2021-05-30,1
2021-06-03,-1
2021-06-11,0
2021-06-18,-1
2021-06-19,-1
2021-06-20,-1
2021-06-27,1
2021-07-01,1
2021-07-02,1
2021-07-05,-1
2021-07-14,-1
2021-07-20,1
2021-08-01,1
2021-08-02,1
2021-08-09,1
2021-08-10,1
2021-08-21,-1
2021-09-06,-1
2021-09-11,1
2021-09-24,-1
2021-09-25,1
2021-09-27,1
2021-09-28,1
2021-10-04,1
2021-10-06,0
2021-10-10,1
2021-10-15,1
2021-10-19,1
2021-11-05,1
2021-11-09,-1
2021-11-13,-1
2021-12-04,0
2021-12-06,-1
2021-12-12,-1
2021-12-16,0
2021-12-17,1
2022-01-01,-1
2022-01-02,-1
2022-01-03,-1
2022-01-04,-1
2022-01-07,1
2022-01-09,1
2022-01-11,1
2022-01-14,-1
2022-01-21,-1
2022-01-23,0
2022-02-03,1
2022-02-08,-1
2022-02-09,-1
2022-03-03,-1
2022-03-04,1
2022-03-06,0
2022-03-07,1
2022-03-08,-1
2022-03-12,1
2022-03-16,1
2022-03-19,1
2022-03-20,1
2022-03-21,1
2022-03-24,1
2022-03-26,1
2022-03-30,1
2022-04-16,-1
2022-04-18,-1
2022-04-21,-1
2022-04-23,0
2022-04-24,-1
2022-05-01,-1
2022-05-11,-1
2022-05-12,1
2022-05-13,-1
2022-05-20,0
2022-05-21,-1
2022-05-22,-1
2022-05-25,1
2022-05-29,-1
2022-06-05,-1
2022-06-08,-1
2022-06-16,1
2022-06-17,-1
2022-06-25,-1
2022-07-06,-1
2022-07-14,1
2022-07-15,1
2022-07-26,1
2022-07-27,0
2022-08-01,1
2022-08-07,1
2022-08-12,-1
2022-08-13,-1
2022-08-14,-1
2022-08-22,-1
2022-08-27,1
2022-08-28,1
2022-08-29,0
2022-08-30,1
2022-09-03,1
2022-09-04,1
2022-09-07,1
2022-09-15,-1
2022-09-17,-1
2022-09-21,1
2022-09-25,1
2022-09-28,0
2022-10-17,0
2022-10-20,1
2022-10-23,1
2022-10-24,1
2022-10-25,1
2022-11-09,1
2022-11-16,-1
2022-11-27,1
2022-11-28,1
2022-12-02,-1
2022-12-06,0
2022-12-08,1
2022-12-15,-1
